year,state,asdr_100k,deaths
2021,AL,30.1,1408
2021,AK,35.6,260
2021,AZ,38.7,2730
2021,AR,22.3,637
2021,CA,26.6,10901
2021,CO,31.4,1887
2021,CT,42.3,1552
2021,DE,54,513
2021,FL,37.5,7827
2021,GA,23.5,2500
2021,HI,17.3,269
2021,ID,19,354
2021,IL,29,3762
2021,IN,43,2811
2021,IA,15.3,475
2021,KS,24.3,680
2021,KY,55.6,2381
2021,LA,55.9,2463
2021,ME,47.1,611
2021,MD,42.8,2737
2021,MA,36.8,2585
2021,MI,31.5,3089
2021,MN,24.5,1356
2021,MS,28.4,787
2021,MO,36.5,2155
2021,MT,19.5,199
2021,NE,11.4,214
2021,NV,29.2,949
2021,NH,32.3,441
2021,NJ,32.4,3056
2021,NM,51.6,1052
2021,NY,28.7,5842
2021,NC,39.2,3981
2021,ND,17.2,124
2021,OH,48.1,5397
2021,OK,24.4,960
2021,OR,26.8,1171
2021,PA,43.2,5449
2021,RI,41.7,455
2021,SC,42.8,2138
2021,SD,12.6,105
2021,TN,56.6,3813
2021,TX,16.8,4984
2021,UT,21.1,662
2021,VT,42.3,252
2021,VA,30.5,2626
2021,WA,28.1,2264
2021,WV,90.9,1501
2021,WI,31.6,1775
2021,WY,18.9,109
2020,AL,22.3,1029
2020,AK,22,160
2020,AZ,35.8,2550
2020,AR,19.1,546
2020,CA,21.8,8908
2020,CO,24.9,1492
2020,CT,39.1,1371
2020,DE,47.3,444
2020,FL,35,7231
2020,GA,18,1916
2020,HI,18.3,274
2020,ID,15.9,287
2020,IL,28.1,3549
2020,IN,36.7,2321
2020,IA,14.3,432
2020,KS,17.4,490
2020,KY,49.2,2083
2020,LA,42.7,1896
2020,ME,39.7,496
2020,MD,44.6,2771
2020,MA,33.9,2302
2020,MI,28.6,2759
2020,MN,19,1050
2020,MS,21.1,586
2020,MO,32.1,1875
2020,MT,15.6,162
2020,NE,11.3,214
2020,NV,26,832
2020,NH,30.3,393
2020,NJ,32.1,2840
2020,NM,39,784
2020,NY,25.4,4965
2020,NC,30.9,3146
2020,ND,15.6,114
2020,OH,47.2,5204
2020,OK,19.4,762
2020,OR,18.7,803
2020,PA,42.4,5168
2020,RI,38.2,397
2020,SC,34.9,1739
2020,SD,10.3,83
2020,TN,45.6,3034
2020,TX,14.1,4172
2020,UT,20.5,622
2020,VT,32.9,190
2020,VA,26.6,2240
2020,WA,22,1733
2020,WV,81.4,1330
2020,WI,27.7,1531
2020,WY,17.4,99
2019,AL,16.3,768
2019,AK,17.8,132
2019,AZ,26.8,1907
2019,AR,13.5,388
2019,CA,15,6198
2019,CO,18,1079
2019,CT,34.7,1214
2019,DE,48,435
2019,FL,25.5,5268
2019,GA,13.1,1408
2019,HI,15.9,242
2019,ID,15.1,265
2019,IL,21.9,2790
2019,IN,26.6,1699
2019,IA,11.5,352
2019,KS,14.3,403
2019,KY,32.5,1380
2019,LA,28.3,1267
2019,ME,29.9,371
2019,MD,38.2,2369
2019,MA,32.1,2210
2019,MI,24.4,2385
2019,MN,14.2,792
2019,MS,13.6,394
2019,MO,26.9,1583
2019,MT,14.1,143
2019,NE,8.7,161
2019,NV,20.1,647
2019,NH,32,407
2019,NJ,31.7,2805
2019,NM,30.2,599
2019,NY,18.2,3617
2019,NC,22.3,2266
2019,ND,11.4,82
2019,OH,38.3,4251
2019,OK,16.7,645
2019,OR,14,615
2019,PA,35.6,4377
2019,RI,29.5,307
2019,SC,22.7,1127
2019,SD,10.5,86
2019,TN,31.2,2089
2019,TX,10.8,3136
2019,UT,18.9,571
2019,VT,23.8,133
2019,VA,18.3,1547
2019,WA,15.8,1259
2019,WV,52.8,870
2019,WI,21.1,1201
2019,WY,14.1,79
2018,AL,16.6,775
2018,AK,14.6,110
2018,AZ,23.8,"1,670"
2018,AR,15.7,444
2018,CA,12.8,"5,348"
2018,CO,16.8,995
2018,CT,30.7,"1,069"
2018,DE,43.8,401
2018,FL,22.8,"4,698"
2018,GA,13.2,"1,404"
2018,HI,14.3,213
2018,ID,14.6,250
2018,IL,21.3,"2,722"
2018,IN,25.6,"1,629"
2018,IA,9.6,287
2018,KS,12.4,345
2018,KY,30.9,"1,315"
2018,LA,25.4,"1,140"
2018,ME,27.9,345
2018,MD,37.2,"2,324"
2018,MA,32.8,"2,241"
2018,MI,26.6,"2,591"
2018,MN,11.5,636
2018,MS,10.8,310
2018,MO,27.5,"1,610"
2018,MT,12.2,125
2018,NE,7.4,138
2018,NV,21.2,688
